,objective,metric,boosting_type,boost_from_average,num_threads,random_state,num_leaves,min_data_in_leaf,min_child_weight,max_depth,bagging_fraction,feature_fraction,lambda_l1,lambda_l2,logloss
0,binary,binary_logloss,gbdt,True,4,42,220,187,0.066922521433735,89,0.839565770698501,0.8154808789518193,1.6281098954882078,0.24752704465555328,0.42422556189718774
1,binary,binary_logloss,gbdt,True,4,42,478,153,0.024430813607484666,71,0.6953986782665346,0.7412159276306548,0.43370443402223174,1.7636451671628746,0.42359596694395985
2,binary,binary_logloss,gbdt,True,4,42,225,21,0.005950166748586614,26,0.6909802942561183,0.8305096394130914,0.22245755767221545,0.5098517561627559,0.43132297628364236
3,binary,binary_logloss,gbdt,True,4,42,140,171,0.04473934076830569,11,0.5970695139074039,0.6281487388821148,0.6300885786993695,1.3404658082480687,0.42312860551042963
4,binary,binary_logloss,gbdt,True,4,42,212,33,0.001700258355732325,50,0.97103709082815,0.6109694435095301,0.29520249701080176,0.21901526198884694,0.42804626053667616
5,binary,binary_logloss,gbdt,True,4,42,40,174,0.004759128883695874,66,0.5217142877980077,0.7953084197989787,0.1290607471256391,1.1449246898312022,0.421068371664154
6,binary,binary_logloss,gbdt,True,4,42,901,154,0.005446440484138868,36,0.6408790911050608,0.6356982726849323,0.3189094153126313,1.9037752086913124,0.4221885585190714
7,binary,binary_logloss,gbdt,True,4,42,21,199,0.01947106291332575,8,0.7193504045315525,0.5208549381073653,0.15757254845112004,0.9076318654346343,0.42109651979893004
8,binary,binary_logloss,gbdt,True,4,42,116,150,0.027881690583413322,4,0.5773378289772337,0.5977877745067246,1.3000443314411134,0.2606141408926429,0.42308845823414154
9,binary,binary_logloss,gbdt,True,4,42,718,159,0.0023477753464143567,62,0.9085134890647307,0.5566033007411357,0.3288308681409687,0.21536691265521418,0.4238713524694767
10,binary,binary_logloss,gbdt,True,4,42,423,86,0.0011425864955033997,93,0.5028457001893863,0.9793270407877318,0.1110720494377863,0.10395315362518733,0.42425502574742224
11,binary,binary_logloss,gbdt,True,4,42,59,106,0.013409466723300897,66,0.7893118416096987,0.9394473933861394,0.10417134846713495,0.8694452817801968,0.422134136027859
12,binary,binary_logloss,gbdt,True,4,42,39,112,0.009645350564391423,43,0.5015279882915159,0.5060979951574569,0.16139836232041765,0.8730139215083509,0.42322686267519233
13,binary,binary_logloss,gbdt,True,4,42,355,198,0.0031371285426609647,81,0.7821776567294283,0.7347142469365284,0.15336600910601828,0.8507001905473879,0.4247036349939339
14,binary,binary_logloss,gbdt,True,4,42,696,193,0.013345402899205841,20,0.553106730628077,0.8406589686912381,0.10204404654595418,0.5336591912896989,0.42375977219441685
15,binary,binary_logloss,gbdt,True,4,42,635,131,0.005884825531412353,60,0.7370575724828303,0.6936890127716758,0.16817942819558937,1.2401524384456502,0.42173484275389683
16,binary,binary_logloss,gbdt,True,4,42,15,77,0.022110834202575348,78,0.6363247888532894,0.5275550682236683,0.7289587572938822,0.680250033643931,0.42219251099567184
17,binary,binary_logloss,gbdt,True,4,42,323,181,0.08330551940599759,35,0.6464676989633436,0.6880576180843982,0.22281888374361186,1.3322379836750955,0.4209943873813357
18,binary,binary_logloss,gbdt,True,4,42,332,179,0.09464588510923626,52,0.5406484139883263,0.6878344742565404,0.2309350215859033,1.3767637575306395,0.42331560590421863
19,binary,binary_logloss,gbdt,True,4,42,584,127,0.003986087742458557,29,0.6437814931471975,0.8835672753389899,0.23115927891361895,1.6614331808960465,0.4237073561689931
20,binary,binary_logloss,gbdt,True,4,42,312,49,0.0012386243771126111,100,0.5290288008930016,0.7516212938010992,0.12451397070377578,0.37481228589199106,0.4279873689577166
21,binary,binary_logloss,gbdt,True,4,42,140,200,0.09866605226719415,14,0.7428820060066911,0.5665273448421376,0.14936018719794492,1.0930794829970663,0.4221592254611263
22,binary,binary_logloss,gbdt,True,4,42,25,174,0.052744088749345726,2,0.6708037709197711,0.786544616963766,0.20032739147190767,0.6835788982502657,0.42618867011688133
23,binary,binary_logloss,gbdt,True,4,42,869,200,0.009201764415759123,40,0.5994817388453872,0.6687311250651036,0.13642930993285096,1.044454498737931,0.4234213478822287
